nsf_proposal_links_v0,researcher_name,team
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Uttam Kumar Roy,"['Uttam Kumar Roy', 'Maya S.Nair', 'Debabrata Sircar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Uttam Kumar Roy,"['Uttam Kumar Roy', 'Shailly Tomar', 'Pravindra Kumar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Uttam Kumar Roy,"['Uttam Kumar Roy', 'Shubhajit Sadhukhan']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Uttam Kumar Roy,"['Uttam Kumar Roy', 'Srinivas Kiran Ambatipudi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,V Devadas,"['V Devadas', 'Millie Pant', 'Sanjoy Ghosh', 'Jaydev Dabas']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,V Devadas,"['V Devadas', 'Harsh Chauhan', 'Mahua Mukherjee']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,V Devadas,"['V Devadas', 'Partha Roy', 'Soma Rohatgi', 'Debabrata Sircar', 'Jaydev Dabas']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,V Devadas,"['V Devadas', 'Shailly Tomar', 'Ranjana Pathania', 'Bijan Choudhury']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,V Devadas,"['V Devadas', 'E Rajasekar', 'Smriti Saraswat', 'Jitin Singla']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,V Devadas,"['V Devadas', 'Debabrata Sircar', 'Krishna Mohan Poluri', 'Avlokita Agrawal']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,V Devadas,"['V Devadas', 'Jitin Singla', 'Harshit Sosan Lakra', 'Pravindra Kumar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,V Devadas,"['V Devadas', 'Sanjoy Ghosh']"
